,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
17,0.004,49.044,-60.512,1059.936,11025.0,4445.0,297.5,-3.9200000000000004,192.36,-925.82,-3.3461538461538463,2.741758241758242,-76.51648351648352
18,0.004,49.044,-60.512,1058.96,11480.0,4270.0,175.0,-3.9200000000000004,192.36,-925.82,-3.28021978021978,2.6153846153846154,-76.51098901098901
19,0.004,49.044,-60.512,1057.984,11532.5,4550.0,157.5,-4.760000000000001,193.62,-925.1200000000001,-3.291208791208791,2.8131868131868134,-76.51098901098901
20,0.004,48.8,-60.268,1057.008,10902.5,4672.5,140.0,-4.760000000000001,193.62,-925.1200000000001,-3.3076923076923075,2.6538461538461537,-76.51098901098901
21,0.004,48.8,-60.512,1056.032,11882.5,4655.0,175.0,-4.760000000000001,193.62,-925.1200000000001,-3.1868131868131866,2.5934065934065935,-76.50549450549451
22,0.004,48.8,-60.512,1055.5439999999999,11725.0,4427.5,245.0,-8.120000000000001,194.32000000000002,-926.8000000000001,-3.3956043956043955,2.6923076923076925,-76.51098901098901
23,0.004,48.8,-60.268,1055.056,11270.0,4550.0,175.0,-8.120000000000001,194.32000000000002,-926.8000000000001,-3.2747252747252746,2.642857142857143,-76.50549450549451
24,0.004,48.8,-60.268,1054.812,11165.0,4497.5,35.0,-8.120000000000001,194.32000000000002,-926.8000000000001,-3.1483516483516483,2.587912087912088,-76.5
25,0.004,48.8,-60.024,1054.568,11725.0,4550.0,52.5,-8.260000000000002,194.60000000000002,-925.1200000000001,-3.357142857142857,2.6923076923076925,-76.50549450549451
26,0.004,48.8,-60.024,1054.568,11410.0,4585.0,280.0,-8.260000000000002,194.60000000000002,-925.1200000000001,-3.2362637362637363,2.631868131868132,-76.5
27,0.004,48.8,-59.78,1054.812,11252.5,4462.5,175.0,-8.260000000000002,194.60000000000002,-925.1200000000001,-3.3461538461538463,2.8241758241758244,-76.5
28,0.004,49.044,-59.78,1054.812,11760.0,4497.5,122.5,-9.24,192.22000000000003,-923.58,-3.2967032967032965,2.6868131868131866,-76.49450549450549
29,0.004,48.8,-59.78,1055.3,11550.0,4620.0,297.5,-9.24,192.22000000000003,-923.58,-3.197802197802198,2.5934065934065935,-76.48901098901099
30,0.004,49.044,-59.78,1055.5439999999999,11445.0,4707.5,122.5,-9.24,192.22000000000003,-923.58,-3.3461538461538463,2.7637362637362637,-76.49450549450549
31,0.004,49.044,-60.024,1056.032,11322.5,4480.0,227.5,-9.66,192.50000000000003,-918.5400000000001,-3.2747252747252746,2.642857142857143,-76.48901098901099
32,0.004,49.288,-60.268,1056.52,11287.5,4427.5,105.0,-9.66,192.50000000000003,-918.5400000000001,-3.2527472527472527,2.82967032967033,-76.48901098901099
33,0.004,49.288,-60.268,1057.008,11620.0,4462.5,105.0,-9.66,192.50000000000003,-918.5400000000001,-3.3076923076923075,2.6648351648351647,-76.48901098901099
34,0.004,49.288,-60.268,1057.74,11882.5,4777.5,157.5,-9.66,192.50000000000003,-918.5400000000001,-3.1758241758241756,2.67032967032967,-76.48351648351648
35,0.004,49.288,-60.512,1058.472,11917.5,4585.0,315.0,-12.740000000000002,188.16000000000003,-926.2400000000001,-3.4065934065934065,2.67032967032967,-76.48351648351648
36,0.004,49.288,-60.756,1059.4479999999999,10605.0,4497.5,87.5,-12.740000000000002,188.16000000000003,-926.2400000000001,-3.2637362637362637,2.67032967032967,-76.47802197802197
37,0.004,49.288,-61.0,1060.424,11690.0,4690.0,245.0,-12.740000000000002,188.16000000000003,-926.2400000000001,-3.4725274725274726,2.598901098901099,-76.48351648351648
38,0.004,49.288,-60.756,1061.156,11830.0,4620.0,297.5,-8.96,188.16000000000003,-931.8400000000001,-3.340659340659341,2.6648351648351647,-76.47802197802197
39,0.004,49.288,-60.756,1061.3999999999999,11270.0,4462.5,210.0,-8.96,188.16000000000003,-931.8400000000001,-3.208791208791209,2.6483516483516483,-76.47252747252747
40,0.004,49.044,-60.756,1061.156,11602.5,4445.0,87.5,-8.96,188.16000000000003,-931.8400000000001,-3.4395604395604398,2.642857142857143,-76.47802197802197
41,0.004,49.044,-60.756,1060.912,11672.5,4480.0,227.5,-10.920000000000002,187.04000000000002,-930.8600000000001,-3.302197802197802,2.659340659340659,-76.47252747252747
42,0.004,49.044,-60.756,1060.424,11060.0,4445.0,367.5,-10.920000000000002,187.04000000000002,-930.8600000000001,-3.197802197802198,2.5714285714285716,-76.46703296703296
43,0.004,49.044,-60.756,1059.4479999999999,11427.5,4480.0,-35.0,-10.920000000000002,187.04000000000002,-930.8600000000001,-3.379120879120879,2.708791208791209,-76.47252747252747
44,0.004,48.8,-60.512,1058.716,11917.5,4340.0,210.0,-7.840000000000001,193.62,-927.5000000000001,-3.2747252747252746,2.620879120879121,-76.46703296703296
45,0.004,48.8,-60.512,1057.4959999999999,11060.0,4392.5,140.0,-7.840000000000001,193.62,-927.5000000000001,-3.2857142857142856,2.818681318681319,-76.46703296703296
46,0.004,48.8,-60.268,1056.52,11567.5,4480.0,-87.5,-7.840000000000001,193.62,-927.5000000000001,-3.3076923076923075,2.659340659340659,-76.46153846153847
47,0.004,48.8,-60.268,1056.032,11585.0,4707.5,175.0,-6.300000000000001,194.04000000000002,-931.1400000000001,-3.1868131868131866,2.60989010989011,-76.45604395604396
48,0.004,49.044,-60.024,1055.3,11007.5,4462.5,175.0,-6.300000000000001,194.04000000000002,-931.1400000000001,-3.3846153846153846,2.7252747252747254,-76.46153846153847
49,0.004,49.044,-60.024,1055.056,11480.0,4427.5,17.5,-6.300000000000001,194.04000000000002,-931.1400000000001,-3.269230769230769,2.6538461538461537,-76.45604395604396
50,0.004,49.044,-59.78,1055.056,11410.0,4462.5,210.0,-11.340000000000002,192.36,-925.5400000000001,-3.131868131868132,2.67032967032967,-76.45054945054945
51,0.004,49.044,-59.78,1054.812,11515.0,4427.5,280.0,-11.340000000000002,192.36,-925.5400000000001,-3.3626373626373627,2.6648351648351647,-76.45604395604396
52,0.004,49.044,-59.78,1054.812,11217.5,4515.0,70.0,-11.340000000000002,192.36,-925.5400000000001,-3.21978021978022,2.67032967032967,-76.45054945054945
53,0.004,49.044,-59.78,1055.056,11882.5,4480.0,315.0,-8.4,193.9,-924.4200000000001,-3.4175824175824174,2.5824175824175826,-76.45604395604396
54,0.004,49.044,-59.78,1055.3,11637.5,4532.5,280.0,-8.4,193.9,-924.4200000000001,-3.2967032967032965,2.67032967032967,-76.45054945054945
55,0.004,49.044,-59.536,1055.788,11585.0,4375.0,210.0,-8.4,193.9,-924.4200000000001,-3.1648351648351647,2.6483516483516483,-76.44505494505495
