,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
23,0.004,-198.85999999999999,-59.048,1045.052,11672.5,4357.5,612.5,-120.26,214.90000000000003,-893.2,-3.2747252747252746,-10.576923076923077,-77.33516483516483
24,0.004,-198.85999999999999,-59.048,1044.808,11252.5,4287.5,630.0,-120.26,214.90000000000003,-893.2,-3.28021978021978,-10.736263736263735,-77.34615384615384
25,0.004,-198.85999999999999,-59.048,1044.808,11760.0,4410.0,647.5,-120.26,214.90000000000003,-893.2,-3.1648351648351647,-10.807692307692308,-77.37912087912088
26,0.004,-199.10399999999998,-59.292,1045.296,11585.0,4392.5,507.5,-121.38000000000001,213.08,-893.9000000000001,-3.379120879120879,-10.708791208791208,-77.34065934065934
27,0.004,-199.10399999999998,-59.048,1045.54,10972.5,4357.5,787.5,-121.38000000000001,213.08,-893.9000000000001,-3.2527472527472527,-10.758241758241759,-77.37362637362638
28,0.004,-199.10399999999998,-59.048,1046.028,11165.0,4427.5,507.5,-121.38000000000001,213.08,-893.9000000000001,-3.10989010989011,-10.76923076923077,-77.4065934065934
29,0.004,-199.10399999999998,-59.048,1046.516,11270.0,4462.5,665.0,-117.04,217.84000000000003,-891.6600000000001,-3.340659340659341,-10.736263736263735,-77.36813186813187
30,0.004,-198.85999999999999,-59.292,1046.76,11445.0,4462.5,700.0,-117.04,217.84000000000003,-891.6600000000001,-3.2032967032967035,-10.73076923076923,-77.4010989010989
31,0.004,-199.10399999999998,-59.292,1047.248,11200.0,4480.0,595.0,-117.04,217.84000000000003,-891.6600000000001,-3.412087912087912,-10.796703296703297,-77.37362637362638
32,0.004,-198.85999999999999,-59.536,1047.7359999999999,11357.5,4287.5,682.5,-117.04,217.84000000000003,-891.6600000000001,-3.2857142857142856,-10.708791208791208,-77.4010989010989
